date,new,cumulative,death
1/22/,0,1,0
1/23/,0,1,0
1/24/,0,2,0
1/25/,1,2,0
1/26/,0,5,0
1/27/,3,5,0
1/28/,0,5,0
1/29/,0,5,0
1/30/,0,5,0
1/31/,1,7,0
2/1/,1,8,0
2/2/,1,8,0
2/3/,3,11,0
2/4/,0,11,0
2/5/,0,11,0
2/6/,1,11,0
2/7/,0,11,0
2/8/,0,11,0
2/9/,0,11,0
2/10/,0,11,0
2/11/,1,12,0
2/12/,0,12,0
2/13/,1,13,0
2/14/,1,13,0
2/15/,0,13,0
2/16/,0,13,0
2/17/,0,13,0
2/18/,0,13,0
2/19/,0,13,0
2/20/,0,13,0
2/21/,1,15,0
2/22/,19,15,0
2/23/,0,15,0
2/24/,0,15,0
2/25/,18,15,0
2/26/,0,15,0
2/27/,6,16,0
2/28/,1,16,0
2/29/,6,24,1
3/1/,3,30,1
3/2/,20,53,6
3/3/,14,73,7
3/4/,22,104,11
3/5/,34,174,12
3/6/,74,222,14
3/7/,105,337,17
3/8/,95,451,21
3/9/,121,519,22
3/10/,200,711,28
3/11/,271,1109,33
3/12/,287,1561,43
3/13/,351,2157,52
3/14/,511,2870,58
3/15/,777,2968,70
3/16/,823,4360,97
3/17/,887,6141,131
3/18/,1766,8917,188
3/19/,2988,14157,265
3/20/,4835,19479,362
3/21/,5374,25825,456
3/22/,7123,33761,601
3/23/,8459,43850,784
3/24/,11236,54112,1021
3/25/,8789,66055,1333
3/26/,13963,84091,1746
3/27/,16797,102276,2300
3/28/,18695,122069,2934
3/29/,19979,141205,3561
3/30/,18360,162707,4381
3/31/,21595,188724,5605
4/1/,24998,214205,6846
4/2/,27103,244610,8432
4/3/,28819,276547,9747
4/4/,32425,309699,11031
4/5/,34272,337573,12470
4/6/,25398,367215,14138
4/7/,30561,397992,16447
4/8/,30613,429686,18563
4/9/,33323,464442,20638
4/10/,33901,497943,22731
4/11/,35527,527969,24777
4/12/,28391,556522,26548
4/13/,27620,581813,28376
4/14/,25023,608878,30780
4/15/,26922,637974,33329
4/16/,30148,669272,35442
4/17/,31667,701996,38056
4/18/,30833,730337,40442
4/19/,32922,756375,41671
4/20/,24601,783716,43466
4/21/,28065,809318,45923
4/22/,37289,837422,48312
4/23/,17588,871617,50749
4/24/,26543,907908,52867
4/25/,21352,940829,54517
4/26/,48529,968518,55810
4/27/,26857,990983,57235
4/28/,22541,1015518,59454
4/29/,24132,1043038,61960
4/30/,27326,1072667,64256
5/1/,29917,1106829,66125
5/2/,33955,1136024,67681
5/3/,29288,1161611,68777
5/4/,24972,1184086,70086
5/5/,22593,1208271,72393
5/6/,23841,1233527,74851
5/7/,24128,1261409,76770
5/8/,28369,1288587,78497
5/9/,26957,1314320,79976
5/10/,25612,1334084,80855
5/11/,20258,1352962,81868
5/12/,18117,1375152,83483
5/13/,22048,1396110,85234
5/14/,20782,1423727,87008
5/15/,27143,1449027,88669
5/16/,25508,1474128,89892
5/17/,24487,1493132,90644
5/18/,18873,1514901,91414
5/19/,21841,1535350,92965
5/20/,19970,1559157,94533
5/21/,23285,1584512,95756
5/22/,25434,1608653,97025
5/23/,24147,1630476,98146
5/24/,21236,1651289,98754
5/25/,20568,1670280,99267
5/26/,19064,1689163,99952
5/27/,18910,1707445,101461
5/28/,18721,1730260,102643
5/29/,21817,1754764,103809
5/30/,25337,1779214,104778
5/31/,23297,1799124,105364
6/1/,19807,1816479,106136
6/2/,21086,1837374,107169
6/3/,20544,1857332,108159
6/4/,19699,1878683,109168
6/5/,21140,1903907,110138
6/6/,25178,1926639,110818
6/7/,22223,1944370,111269
6/8/,22302,1961785,111774
6/9/,18822,1979912,112714
6/10/,18665,2000706,113631
6/11/,20614,2023656,114512
6/12/,22883,2048986,115334
6/13/,25639,2074542,116084
6/14/,25540,2094366,116382
6/15/,19543,2114026,116773
6/16/,19957,2137731,117612
6/17/,23705,2163290,118363
6/18/,25559,2191099,119067
6/19/,27762,2222579,119739
6/20/,29909,2255328,120349
6/21/,34158,2281767,120604
6/22/,25793,2312303,121010
6/23/,31390,2347491,121847
6/24/,34720,2382426,122604
6/25/,34339,2422299,125026
6/26/,40949,2467554,125631
6/27/,45527,2510259,126120
6/28/,42486,2549864,126361
6/29/,38673,2590668,126711
6/30/,41556,2636414,127432
7/1/,43880,2687588,128105
7/2/,52048,2742049,128803
7/3/,53399,2795361,129442
7/4/,54442,2841241,129689
7/5/,45221,2891124,129960
7/6/,49093,2936077,130285
7/7/,49990,2996098,131480
7/8/,57473,3054699,132300
7/9/,58906,3117946,133290
7/10/,63004,3185737,134101
7/11/,66625,3245925,134777
7/12/,63051,3304942,135205
7/13/,57258,3364157,135566
7/14/,58114,3431574,136466
7/15/,68518,3498902,137415
7/16/,67717,3576157,138358
7/17/,76930,3647715,139266
7/18/,71494,3711413,140119
7/19/,63749,3773260,140534
7/20/,61796,3834677,140913
7/21/,56750,3899211,141995
